"STATE","FACILITY_NAME","ORISPL_CODE","UNITID","OP_DATE","SUM_OP_TIME","COUNT_OP_TIME","GLOAD","SLOAD","SO2_MASS","SO2_RATE","NOX_RATE","NOX_MASS","CO2_MASS","CO2_RATE","HEAT_INPUT"
"AL","Colbert","47","1","12-30-1995","24","24","3126","","22.533","1.441",".421","6.597","3436.819",".109","31423.421"
"AL","Colbert","47","2","12-24-1995","24","24","4521","","33.51","1.479",".412","9.333","4956.715",".109","45320.027"
"AL","Colbert","47","2","12-25-1995","24","24","4471","","34.849","1.524",".421","9.627","5005.365",".109","45764.033"
"AL","Colbert","47","2","12-26-1995","24","24","4372","","32.643","1.468",".417","9.301","4870.298",".109","44528.568"
"AL","Colbert","47","2","12-27-1995","24","24","3983","","32.748","1.635",".471","9.471","4356.069",".109","39827.513"
"AL","Colbert","47","2","12-28-1995","24","24","4507","","34.721","1.54",".434","9.792","4931.397",".109","45087.761"
"AL","Colbert","47","2","12-29-1995","24","24","4529","","35.959","1.592",".433","9.788","4943.632",".109","45200.514"
"AL","Colbert","47","2","12-30-1995","24","24","4508","","32.775","1.441",".421","9.559","4971.58",".109","45455.946"
"AL","Colbert","47","3","12-24-1995","24","24","2801","","20.687","1.479",".412","5.74","3063.731",".109","28012.1"
"AL","Colbert","47","3","12-25-1995","24","24","2644","","20.592","1.524",".421","5.647","2945.374",".109","26929.517"
"AL","Colbert","47","3","12-26-1995","24","24","2616","","19.458","1.468",".417","5.484","2898.118",".109","26497.258"
"AL","Colbert","47","3","12-27-1995","24","24","3538","","28.971","1.635",".471","8.387","3864.338",".109","35331.702"
"AL","Colbert","47","3","12-28-1995","24","24","3889","","29.846","1.54",".434","8.418","4257.982",".109","38930.766"
"AL","Colbert","47","3","12-29-1995","24","24","4088","","32.533","1.592",".433","8.849","4458.61",".109","40765.86"
"AL","Colbert","47","3","12-30-1995","24","24","3253","","23.464","1.441",".421","6.871","3578.233",".109","32716.338"
"AL","Colbert","47","4","12-24-1995","24","24","2801","","20.679","1.479",".412","5.734","3061.286",".109","27989.766"
"AL","Colbert","47","4","12-25-1995","24","24","2881","","22.418","1.524",".421","6.147","3208.225",".109","29332.763"
"AL","Colbert","47","4","12-26-1995","24","24","2790","","20.741","1.468",".417","5.836","3087.432",".109","28228.18"
"AL","Colbert","47","4","12-27-1995","24","24","3685","","30.225","1.635",".471","8.745","4025.785",".109","36807.858"
"AL","Colbert","47","4","12-28-1995","24","24","4346","","33.385","1.54",".434","9.418","4753.021",".109","43456.956"
"AL","Colbert","47","4","12-29-1995","24","24","4289","","33.982","1.592",".433","9.279","4679.284",".109","42783.561"
"AL","Colbert","47","4","12-30-1995","24","24","3627","","26.213","1.441",".421","7.664","3991.769",".109","36497.395"
"AL","Colbert","47","5","12-24-1995","24","24","11575","","156.622","3.121",".461","23.163","10824.3",".108","100379.1"
"AL","Colbert","47","5","12-25-1995","24","24","10651","","145.109","3.116",".444","20.696","10042.3",".108","93130.9"
"AL","Colbert","47","5","12-26-1995","24","24","10919","","147.222","3.103",".438","20.784","10231.7",".108","94883.4"
"AL","Colbert","47","5","12-27-1995","24","24","11326","","151.461","3.091",".449","22.022","10566.7",".108","97993"
"AL","Colbert","47","5","12-28-1995","24","24","11889","","156.974","3.097",".465","23.629","10934.2",".108","101401.4"
"AL","Colbert","47","5","12-29-1995","24","24","11609","","156.049","3.146",".477","23.702","10696",".108","99187.3"
"AL","Colbert","47","5","12-30-1995","24","24","12011","","166.523","3.196",".478","24.866","11235.7",".108","104195.7"
"AL","Charles R Lowman","56","2","12-24-1995","24","24","5231","","21.154",".753",".611","17.151","5739.5",".103","55940.6"
"AL","Charles R Lowman","56","2","12-25-1995","24","24","5201","","22.166",".8",".608","16.967","5694.7",".103","55502.6"
"AL","Charles R Lowman","56","2","12-26-1995","24","24","5470","","25.731",".88",".615","17.994","5997",".103","58451.1"
"AL","Charles R Lowman","56","2","12-27-1995","24","24","5460","","27.508",".947",".619","18.017","5963",".103","58120.9"
"AL","Charles R Lowman","56","2","12-28-1995","24","24","5381","","24.889",".871",".617","17.621","5837.6",".103","56896.2"
"AL","Charles R Lowman","56","2","12-29-1995","24","24","5165","","25.969",".943",".607","16.732","5639.2",".103","54964.4"
"AL","Charles R Lowman","56","2","12-30-1995","24","24","5191","","23.939",".873",".596","16.295","5605.1",".103","54631.2"
"AL","Charles R Lowman","56","3","12-24-1995","24","24","4836","","15.987",".649",".509","12.365","4988.8",".103","48621.8"
"AL","Charles R Lowman","56","3","12-25-1995","24","24","4790","","18.494",".76",".526","12.656","4947.6",".103","48221.2"
"AL","Charles R Lowman","56","3","12-26-1995","24","24","5066","","20.838",".817",".533","13.535","5211.4",".103","50794.5"
"AL","Charles R Lowman","56","3","12-27-1995","24","24","5077","","20.668",".817",".542","13.694","5184.3",".103","50529.3"
"AL","Charles R Lowman","56","3","12-28-1995","24","24","4995","","20.55",".817",".536","13.427","5144.7",".103","50141.5"
"AL","Charles R Lowman","56","3","12-29-1995","24","24","4760","","20.912",".86",".536","12.927","4961.2",".103","48354.7"
"AL","Charles R Lowman","56","3","12-30-1995","24","24","4791","","19.525",".813",".515","12.313","4909.9",".103","47857.3"
